Date,Time,Booking_ID,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Canceled_Rides_by_Customer,Reason_for_Canceling_by_Customer,Driver_Not_Moving_Toward_Pickup,Driver_Asked_to_Cancel,AC_Not_Working,Canceled_Rides_by_Driver,Reason_for_Canceling_by_Driver,Incomplete_Rides,Incomplete_Ride_Reason,Booking_Value_INR,Ride_Distance_km,Driver_Rating,Customer_Rating,Overall_Booking_Status
30-10-2025,08:44,CNR9153912310,CUST27203,Prime Plus,Lalbagh,Bannerghatta Road,6.47,11.79,0,,No,No,No,0,,0,,336.71,16.65,4.1,3.8,Success
30-10-2025,21:41,CNR5312912396,CUST72105,Mini,Vijayanagar,JP Nagar,7.03,23.9,0,,No,No,No,0,,0,,662.53,1.55,4.1,4.6,Success
15-10-2025,02:38,CNR2004031719,CUST63240,Prime SUV,Jayanagar,HSR Layout,3.84,9.26,0,,No,No,No,0,,0,,931.57,3.8,4.5,4.2,Success
30-10-2025,20:10,CNR6835511297,CUST47881,Auto,Bannerghatta Road,Peenya,11.18,8.85,0,,No,No,No,0,,0,,246.21,11.47,3.4,3.2,Success
19-10-2025,17:46,CNR8172882664,CUST53606,Mini,Marathahalli,Bellandur,10.37,19.36,0,,No,No,No,0,,0,,154.85,11.37,4,3.1,Success
12-10-2025,07:10,CNR7968743424,CUST85712,Prime Plus,Sanjay Nagar,Hebbal,6.67,22.47,0,,No,No,No,0,,0,,722.68,5.62,4.4,3.7,Success
23-10-2025,14:24,CNR9026377053,CUST54202,Mini,Bellandur,Koramangala,10.53,18.29,0,,No,No,No,0,,0,,469.48,2.58,4.3,4.1,Success
20-10-2025,08:59,CNR4957707232,CUST70872,Auto,Kalyan Nagar,Kadugodi,4.51,20.62,0,,No,No,No,0,,0,,284.8,17.86,4.1,3.2,Success
25-10-2025,20:44,CNR1797430642,CUST90632,Auto,Banaswadi,Richmond Town,7.47,17.25,0,,No,No,No,0,,0,,892.02,13.09,4.7,4,Success
03-10-2025,17:14,CNR7174249145,CUST79819,Auto,Sarjapur Road,MG Road,3.94,7.65,0,,No,No,No,0,,0,,969.58,4.73,3.7,4.2,Success
05-10-2025,21:20,CNR4196651835,CUST60901,Auto,Banaswadi,JP Nagar Phase 7,2.87,18.33,0,,No,No,No,0,,0,,234.58,15.86,3.8,4.5,Success
19-10-2025,01:14,CNR9349821683,CUST72968,Auto,Richmond Town,Koramangala,,,0,,No,No,No,0,,1,Other Issue,619.26,10.96,,,Incomplete
07-10-2025,01:51,CNR6740620678,CUST85203,Mini,Hoodi,Horamavu,5.44,12.67,0,,No,No,No,0,,0,,422.54,17.38,4,4.7,Success
21-10-2025,10:25,CNR8802554106,CUST21890,Mini,Horamavu,Hennur,5.74,13.03,0,,No,No,No,0,,0,,215.71,5.51,3.9,4.5,Success
09-10-2025,08:04,CNR4808090101,CUST73602,Mini,Indiranagar,Kundalahalli,,,0,,No,No,No,0,,1,Other Issue,428.35,11.03,,,Incomplete
07-10-2025,06:58,CNR2823125199,CUST54859,Auto,Banashankari,Kalyan Nagar,,,1,Wrong Address,No,No,No,0,,0,,117.71,11.11,,,Cancelled by Customer
18-10-2025,18:56,CNR9746510644,CUST10748,Auto,Richmond Town,BTM 2nd Stage,2.67,22.76,0,,No,No,No,0,,0,,768.89,9.2,4.1,4.5,Success
04-10-2025,22:20,CNR3137489697,CUST34454,eBike,Ulsoor,Mahadevapura,,,1,Wrong Address,No,No,No,0,,0,,677.97,2.35,,,Cancelled by Customer
25-10-2025,06:41,CNR8216191814,CUST35939,Auto,Sarjapur Road,Frazer Town,9,16.33,0,,No,No,No,0,,0,,248.39,5.6,3.6,4,Success
28-10-2025,15:25,CNR8653567915,CUST62796,Prime SUV,Domlur,MG Road,10.2,18.07,0,,No,No,No,0,,0,,301.45,7.33,4.8,4.7,Success
14-10-2025,20:29,CNR3271536751,CUST44398,Prime SUV,Whitefield,BTM 2nd Stage,9.38,5.63,0,,No,No,No,0,,0,,255.4,6.16,3.5,4,Success
18-10-2025,04:16,CNR8656880028,CUST38087,Auto,Koramangala 5th Block,Marathahalli,,,1,Change of Plans,No,No,No,0,,0,,292.05,12.21,,,Cancelled by Customer
26-10-2025,04:15,CNR5816269755,CUST66334,Prime SUV,BTM Layout,Horamavu,12.39,7.51,0,,No,No,No,0,,0,,352.7,9.16,4.9,3.1,Success
09-10-2025,23:35,CNR6301644237,CUST26438,Mini,Nagarbhavi,Peenya,,,0,,No,No,No,0,,1,Customer Demand,602.36,4.02,,,Incomplete
26-10-2025,17:16,CNR2633716654,CUST71595,Mini,Electronic City,MG Road,9.17,5.73,0,,Yes,No,No,0,,0,,438.39,7.47,3.5,3.2,Success
21-10-2025,23:37,CNR4401182224,CUST23717,Prime SUV,Hoodi,Richmond Town,12.98,6.56,0,,No,No,No,0,,0,,603.92,15.54,4.7,4.6,Success
02-10-2025,13:57,CNR9936092836,CUST24437,Prime Plus,Koramangala,Peenya,9.36,14.43,0,,No,No,No,0,,0,,865.15,2.38,4.1,4.3,Success
20-10-2025,18:25,CNR3258007399,CUST22799,Mini,Indiranagar,JP Nagar,,,0,,No,No,No,1,Personal Car Issue,0,,334.96,3.72,,,Cancelled by Driver
28-10-2025,11:14,CNR2825669622,CUST37198,Mini,Kalyan Nagar,Malleshwaram,4.96,12,0,,No,No,No,0,,0,,368.86,10.05,5,4.7,Success
15-10-2025,04:32,CNR8399980976,CUST63111,eBike,Kadugodi,Hebbal,2.74,15.49,0,,No,Yes,No,0,,0,,985.41,16.66,3.9,3.1,Success
28-10-2025,15:05,CNR3969981843,CUST42009,Mini,Vijayanagar,Electronic City,7.52,6.01,0,,No,No,No,0,,0,,664.61,16.43,5,3.6,Success
07-10-2025,01:55,CNR4254736646,CUST12876,Auto,Koramangala,Sarjapur Road,,,0,,No,No,No,1,Too Many People,0,,565.28,5.05,,,Cancelled by Driver
12-10-2025,03:09,CNR6724671543,CUST89618,Auto,Hoskote,Vijayanagar,9.8,12.18,0,,No,No,No,0,,0,,831.8,19.23,3.7,5,Success
29-10-2025,20:10,CNR8147162374,CUST80479,Prime SUV,Malleshwaram,Yeshwanthpur,,,1,Wrong Address,No,No,No,0,,0,,434.71,9.83,,,Cancelled by Customer
08-10-2025,21:27,CNR6025827649,CUST18495,Auto,Hennur,JP Nagar Phase 7,,,1,Wrong Address,No,No,No,0,,0,,655.68,15.55,,,Cancelled by Customer
15-10-2025,19:04,CNR6567764538,CUST96083,Prime Plus,Jayanagar,HSR Sector 2,7.75,22.86,0,,No,No,No,0,,0,,265.37,2.63,4.4,3.3,Success
03-10-2025,12:24,CNR9450087941,CUST78636,Prime Plus,Bannerghatta Road,Yelahanka,3.21,24.16,0,,No,No,No,0,,0,,364.59,8.01,3.1,4.2,Success
14-10-2025,19:29,CNR8282427046,CUST53300,Auto,Domlur,Hebbal,,,0,,No,No,No,1,Personal Car Issue,0,,356.55,7.88,,,Cancelled by Driver
17-10-2025,16:16,CNR1372674103,CUST38392,Auto,Marathahalli,Nagawara,8.05,15.28,0,,No,No,No,0,,0,,352.51,3.38,5,3.6,Success
04-10-2025,17:55,CNR7771553539,CUST71463,Auto,RT Nagar,Brookefield,,,1,Wrong Address,No,No,No,0,,0,,163.9,5.81,,,Cancelled by Customer
18-10-2025,00:43,CNR2272846984,CUST34699,Prime Plus,Ulsoor,Varthur,5.5,24.88,0,,No,No,No,0,,0,,845.45,19.9,3.5,3.6,Success
08-10-2025,23:07,CNR9547802314,CUST46271,Prime SUV,Frazer Town,Koramangala 5th Block,14.67,12.63,0,,No,No,No,0,,0,,485.95,12.85,3.5,4.1,Success
04-10-2025,21:56,CNR7646310091,CUST78892,Mini,Richmond Town,CV Raman Nagar,9.63,18.04,0,,No,No,No,0,,0,,978.89,13.1,3.5,3.7,Success
02-10-2025,17:48,CNR2335158802,CUST19166,Mini,Kundalahalli,Marathahalli,6.38,24.99,0,,No,No,No,0,,0,,464.92,8.43,4.6,4.5,Success
30-10-2025,08:49,CNR6017074564,CUST24440,Prime Plus,Ulsoor,Sanjay Nagar,,,0,,No,No,No,1,Customer Sick/Coughing,0,,386.73,8.4,,,Cancelled by Driver
06-10-2025,20:21,CNR9835093082,CUST58920,Prime SUV,Frazer Town,Hennur,9.12,19.62,0,,No,No,Yes,0,,0,,119.08,9.07,4.4,3.7,Success
22-10-2025,03:18,CNR4627965957,CUST92177,Mini,Hebbal,Jayanagar,13.73,9.28,0,,No,Yes,Yes,0,,0,,121.04,18.55,4,3.9,Success
10-10-2025,13:10,CNR6548953375,CUST63634,Auto,Peenya,Hennur,,,0,,No,No,No,1,Personal Car Issue,0,,634.57,17.75,,,Cancelled by Driver
04-10-2025,14:00,CNR3216271954,CUST96997,Prime Plus,BTM 2nd Stage,Whitefield Main Road,5.39,13.23,0,,No,No,No,0,,0,,346.85,9.26,3.9,4.5,Success
22-10-2025,23:56,CNR7474688460,CUST33363,eBike,Hoskote,CV Raman Nagar,5.38,24.07,0,,No,No,No,0,,0,,227.75,15.97,3.5,4.4,Success
29-10-2025,23:16,CNR8762990005,CUST20460,Mini,KR Puram,Marathahalli,,,0,,No,No,No,1,Customer Sick/Coughing,0,,639.76,9.39,,,Cancelled by Driver
31-10-2025,16:48,CNR2821368807,CUST94688,Prime SUV,Sarjapur Road,Peenya,13.5,5.84,0,,No,No,No,0,,0,,263.03,12.82,4.4,3.2,Success
18-10-2025,05:32,CNR5928944205,CUST17283,Auto,BTM Layout,Peenya,15,13.28,0,,Yes,No,No,0,,0,,109.67,13.18,3.8,4.8,Success
26-10-2025,03:55,CNR2545248143,CUST35194,Prime SUV,KR Puram,Mahadevapura,,,1,Change of Plans,No,No,No,0,,0,,302.3,10.37,,,Cancelled by Customer
12-10-2025,20:19,CNR7117190432,CUST79208,Auto,Hennur,RT Nagar,8.72,5.35,0,,No,No,No,0,,0,,364.76,13.73,4.1,3.3,Success
02-10-2025,20:32,CNR1850243756,CUST16452,Auto,Cox Town,Varthur,10.53,9.17,0,,Yes,No,No,0,,0,,314.13,15.29,4.5,3.6,Success
10-10-2025,19:12,CNR1317190134,CUST38632,Prime Plus,Richmond Town,Bellandur,,,0,,No,No,No,1,Personal Car Issue,0,,546.25,10.52,,,Cancelled by Driver
30-10-2025,04:23,CNR7482688317,CUST83641,Auto,JP Nagar,Malleshwaram,12.48,6.1,0,,No,No,No,0,,0,,814.65,11.74,3.4,3.8,Success
04-10-2025,05:34,CNR8306043428,CUST26925,Mini,Domlur,KR Puram,9.94,8.03,0,,No,No,No,0,,0,,446.21,5.68,4.7,4.3,Success
14-10-2025,16:58,CNR3970051161,CUST10629,Prime SUV,Hoodi,Koramangala 5th Block,9.82,21.94,0,,No,No,No,0,,0,,762.82,13.27,3.6,3.4,Success
31-10-2025,00:38,CNR2709497501,CUST24219,Prime SUV,Kadugodi,Mahadevapura,,,0,,No,No,No,0,,1,Other Issue,487.89,9.28,,,Incomplete
16-10-2025,10:31,CNR5715085798,CUST57939,Mini,Brookefield,Nagarbhavi,2.41,23.89,0,,No,No,No,0,,0,,562.51,5.29,4.5,3.7,Success
15-10-2025,00:07,CNR9051994662,CUST79464,Mini,Kalyan Nagar,Horamavu,3.42,7.58,0,,No,No,No,0,,0,,388.99,6.06,4.8,3.7,Success
08-10-2025,11:56,CNR2740218845,CUST53505,Prime SUV,Richmond Town,Whitefield Main Road,,,0,,No,No,No,1,Customer Sick/Coughing,0,,455.42,3.09,,,Cancelled by Driver
14-10-2025,09:15,CNR2026062142,CUST90076,Mini,Kalyan Nagar,Banaswadi,,,0,,No,No,No,1,Customer Sick/Coughing,0,,181.42,14.54,,,Cancelled by Driver
23-10-2025,01:15,CNR6763066136,CUST38492,Prime SUV,Malleshwaram,Banaswadi,,,0,,No,No,No,1,Too Many People,0,,840.39,5.86,,,Cancelled by Driver
28-10-2025,18:05,CNR8128604511,CUST92451,Prime SUV,Ramamurthy Nagar,Electronic City,,,0,,Yes,No,No,1,Customer Sick/Coughing,0,,229.7,10.85,,,Cancelled by Driver
25-10-2025,02:46,CNR3188626901,CUST17167,Auto,Kundalahalli,Frazer Town,,,0,,No,No,No,0,,1,Customer Demand,450.7,2.05,,,Incomplete
30-10-2025,15:52,CNR8938430337,CUST23313,Auto,Ramamurthy Nagar,Vijayanagar,5.51,14.31,0,,No,No,No,0,,0,,485.21,14.97,3.2,4,Success
08-10-2025,02:48,CNR7593575910,CUST51573,Prime Plus,Ulsoor,Whitefield Main Road,13.76,22.23,0,,No,No,No,0,,0,,200.79,15.05,4.4,3.6,Success
21-10-2025,17:49,CNR7733064305,CUST14772,Prime SUV,Kadugodi,Malleshwaram,,,1,Wrong Address,No,No,No,0,,0,,120.42,17.25,,,Cancelled by Customer
16-10-2025,04:08,CNR9965304933,CUST94030,eBike,JP Nagar Phase 7,Yeshwanthpur,5.77,14.68,0,,Yes,No,No,0,,0,,975.81,7.97,4,4.7,Success
13-10-2025,21:30,CNR4839331678,CUST86883,Mini,Cox Town,JP Nagar Phase 7,,,1,Change of Plans,No,No,No,0,,0,,276.68,8.84,,,Cancelled by Customer
18-10-2025,17:10,CNR6719422718,CUST43848,Auto,Hoodi,Hennur,11.24,17.76,0,,No,No,No,0,,0,,235.01,19.85,3.7,3.6,Success
15-10-2025,08:33,CNR1783861487,CUST23935,Auto,Whitefield Main Road,HSR Layout,6.9,8.63,0,,No,No,No,0,,0,,486.87,5.19,3.3,3.1,Success
21-10-2025,19:27,CNR7811635275,CUST24939,Prime SUV,Domlur,RT Nagar,11.01,6.67,0,,No,No,No,0,,0,,122.88,7.18,4.3,4.7,Success
24-10-2025,06:59,CNR7415978326,CUST56067,Prime Plus,Yelahanka,Bellandur,8.31,24.4,0,,No,No,Yes,0,,0,,755.23,16.29,4.8,3.3,Success
26-10-2025,17:48,CNR5836996995,CUST60425,Mini,HSR Layout,Cox Town,,,0,,No,No,No,1,Personal Car Issue,0,,131.17,6.52,,,Cancelled by Driver
25-10-2025,23:44,CNR2656592701,CUST30353,Prime SUV,Whitefield Main Road,Mahadevapura,,,0,,No,No,No,1,Customer Sick/Coughing,0,,398.36,5.28,,,Cancelled by Driver
28-10-2025,06:45,CNR3701560532,CUST63013,Prime SUV,Brookefield,Yelahanka,4.46,21.01,0,,No,No,No,0,,0,,778.2,15.94,4.6,3.6,Success
28-10-2025,09:25,CNR7408679979,CUST17412,Mini,Hoodi,Hebbal,13.42,15.68,0,,No,No,No,0,,0,,171.81,2.15,4.3,4.8,Success
28-10-2025,21:41,CNR4400742873,CUST32809,Prime Plus,Marathahalli,Hoskote,6.48,14.29,0,,No,No,No,0,,0,,1262.42,7.46,4.1,4.3,Success
13-10-2025,11:28,CNR1700346253,CUST79672,Mini,Marathahalli,Kalyan Nagar,14.46,16.28,0,,No,No,Yes,0,,0,,475.13,8.68,4.4,3.5,Success
09-10-2025,16:28,CNR7721121200,CUST38842,Prime Plus,CV Raman Nagar,Koramangala 5th Block,,,1,Wrong Address,No,No,No,0,,0,,522.95,19.74,,,Cancelled by Customer
29-10-2025,03:15,CNR3121694265,CUST95086,Mini,Domlur,Bellandur,8.27,6.09,0,,No,No,No,0,,0,,380.31,13.06,4.3,3.6,Success
15-10-2025,07:04,CNR8852443302,CUST21080,Auto,Varthur,Horamavu,6.09,22.35,0,,No,No,No,0,,0,,644.13,10.58,4,3.4,Success
13-10-2025,10:01,CNR6090911631,CUST57486,eBike,Lalbagh,Horamavu,,,0,,No,No,No,1,Personal Car Issue,0,,1419.95,5.21,,,Cancelled by Driver
01-10-2025,18:35,CNR2233892432,CUST64447,Prime SUV,Whitefield,Bellandur,,,1,Wrong Address,No,No,No,0,,0,,593.54,1.96,,,Cancelled by Customer
25-10-2025,07:37,CNR4429595342,CUST35786,Prime SUV,HSR Sector 2,JP Nagar Phase 7,14.47,14.32,0,,No,No,No,0,,0,,1029.42,15.75,4.8,3.9,Success
07-10-2025,07:00,CNR8401621894,CUST97313,Prime Plus,Malleshwaram,Yelahanka,11.35,13.5,0,,No,No,No,0,,0,,140.89,11.28,3.1,4.5,Success
09-10-2025,02:45,CNR4700334355,CUST54299,Mini,Brookefield,Bellandur,5.35,7.81,0,,No,No,No,0,,0,,243.14,11.22,3.8,4.3,Success
24-10-2025,20:03,CNR6286880760,CUST47435,Auto,Ulsoor,Kundalahalli,,,0,,No,No,No,1,Personal Car Issue,0,,765.39,8.6,,,Cancelled by Driver
01-10-2025,07:04,CNR7690682968,CUST48657,Prime Plus,Sarjapur Road,Hoskote,,,1,Wrong Address,No,No,No,0,,0,,678.35,12.18,,,Cancelled by Customer
12-10-2025,01:55,CNR6348523448,CUST78741,Prime Plus,Ulsoor,JP Nagar Phase 7,3.33,9.53,0,,No,No,No,0,,0,,437.61,10.79,3.9,4.9,Success
08-10-2025,10:04,CNR3210846411,CUST52473,Mini,Peenya,Koramangala 5th Block,10.83,22.85,0,,No,No,No,0,,0,,317.62,13.46,4.2,4,Success
24-10-2025,16:15,CNR8050976791,CUST10204,Auto,HSR Layout,BTM Layout,,,0,,No,No,No,1,Customer Sick/Coughing,0,,446.33,2.18,,,Cancelled by Driver
31-10-2025,08:42,CNR5232236014,CUST43843,Prime Plus,Jayanagar,Ulsoor,7.46,16.04,0,,No,No,No,0,,0,,253.6,18.92,4.7,4.9,Success
11-10-2025,15:13,CNR1558412564,CUST29375,Mini,MG Road,Koramangala 5th Block,,,0,,No,No,No,1,Too Many People,0,,267,5.12,,,Cancelled by Driver
19-10-2025,17:08,CNR2780864496,CUST92815,Auto,Bannerghatta Road,Banaswadi,7.06,18.62,0,,No,No,No,0,,0,,826.71,15.83,4.9,3.2,Success
17-10-2025,23:59,CNR3186474168,CUST84334,Auto,Cox Town,Horamavu,9.41,14.27,0,,No,No,No,0,,0,,438.23,9.38,3.9,3.3,Success
08-10-2025,18:36,CNR5060406197,CUST65233,Mini,Nagarbhavi,Whitefield,7.98,20.11,0,,No,No,No,0,,0,,899.49,3.86,4.7,4.3,Success
03-10-2025,15:15,CNR4284509383,CUST65104,Mini,JP Nagar Phase 7,Jayanagar,10.85,18.18,0,,No,No,No,0,,0,,379.7,10.73,3.2,4,Success
03-10-2025,15:51,CNR4805911461,CUST78304,Mini,RT Nagar,Vijayanagar,8.16,19.07,0,,No,No,No,0,,0,,168.62,18.64,3.1,3.7,Success
01-10-2025,13:12,CNR1760897374,CUST21245,Prime Plus,Banaswadi,CV Raman Nagar,4.36,19.81,0,,No,No,No,0,,0,,461.29,19.54,4.3,4.3,Success
27-10-2025,03:06,CNR5475694857,CUST99742,Auto,Lalbagh,Koramangala 5th Block,,,0,,No,No,No,1,Customer Related Issue,0,,548.07,15.89,,,Cancelled by Driver
05-10-2025,21:27,CNR9670154173,CUST34924,Auto,Ramamurthy Nagar,Nagawara,7.19,13.63,0,,No,No,No,0,,0,,603.88,8.27,3.7,4.3,Success
10-10-2025,11:27,CNR9610734847,CUST56273,Auto,Bellandur,Horamavu,2.89,9.93,0,,No,No,No,0,,0,,202.25,11.85,4.1,3.6,Success
07-10-2025,13:29,CNR9931198495,CUST82960,Auto,HSR Layout,Yelahanka,2.97,9.87,0,,No,No,No,0,,0,,841.61,18.02,5,4.6,Success
